Tweet,Category
@CMGTampa @COXMG I would #FireMikeCalta before he does something worse than selling sex tapes. @BN9 @10NewsWTSP @WTSPReg,0
Wtf ew,0
thats racist,0
People before money! WTG!,0
I haven't.,0
Ridiculous,0
Another racist,0
What a disgusting person...,0
Yet another one!,0
I'd suggest calling Pasco County.,0
He's right.,0
I guess Cuba is lucky today......,0
I'll check!,0
John Lithgow wins Best Supporting Actor #Emmys,0
Go away,0
20-70% seems a big range...,0
Seriously @DukeEnergy !!!! How much longer until it's restored???,0
Nah !! He looks more like a Trump supporter,0
Thieves don't care about a curfew !!,0
Real life super heroes.,0
Gusts 190 @130mph,0
Two additional pet friendly??,0
take care! this one looks bad!,0
Finally free parking!,0
Seriously,0
"Sheriff has a Special Shelter, Its Reinforced""""",0
Sharing,0
American Communist Lawyers Union.,0
Go red line!,0
Torture them!! Disgusting people,0
At least one thing he gets right.,0
Damn...,0
I like breakfast food.,0
Other non official options...,0
Why wasn't he surprised?,0
Certainly gets more interesting.,0
Gotta love small towns w/ 1 or 2,0
Two wrongs don’t make a right....,0
I'm still curious how NFL players disrespecting veterans promotes their cause? @JakeElman,0
People act like boats got brakes,0
"Also, practicing his Freedoms.",0
Damn white Nazi strikes again.,0
"Yeah, I bet he is",0
By a black person or a Spanish person gets shot by a Spanish person,0
"Red Cross responded. 5 people, including 1 child, getting assistance.",0
Yup kim jong un got it right he’s a DOTARD,0
Lol! Like he going anyway.,0
Should already been retired,0
Indeed. I like cows.,0
Cook anything other than Raman noodles?,0
Blame Hillary she was such a clown she couldn't beat this guy?,0
i want one!!!!,0
yes.. but #meteorologists say #hurricanemaria2017 is even #stronger ...,0
North! Go NORTH!,0
Big Little Lies wins Best Limited Series #Emmys,0
Cute thnks 4 sharing,0
Try tweeting Gov Scott.,0
I wish FAU could start a law school!,0
He dance like Roby.. lol,0
He made his own GIF.....,0
It shows,0
Lies lies lies,0
Palm Beach County Library system opens today. @pbclibrary,0
SAD,0
Blowing hot air.,0
Air conditioner,0
"Dead or not, he's still scary.",0
Pets!!!!!,0
such a pretty group,0
Give me a break,0
He's adorable.,0
"Haverhill/Tower Park area, yes, got it back last night at 7pm",0
Still without power!!!,0
#respect,0
Palm beach,0
Which county does he represent?,0
Martin County EOC: Approximately 71,0
Fort pierce (near I-95 & Okeechobee),0
Where is he?,0
Doesn't he look a little like Shaun Hannity? Just wonder....,0
Poor guy,0
Looks like he had a blast!,0
Just got strong winds at Lantana,0
Where can I watch football?? Sister station?,0
go down stairs asap,0
Same parent company.,0
Sunday ticket ?,0
East Lake Worth during last tornado warning,0
Lake Ida?,0
Woahhhh coach watch yourself,0
saves maxinet si ya toco miami estoy viendo pero no dinen en particular..,0
Crazy!!,0
Euro is more reliable.American stayed way east when Euro moved way west.,0
Remember few years ago one got slammed into a condo,0
Sad how cruel,0
Omg. Poor Mexico,0
WTF,0
Walgreens closing at 4 p.m.,0
@cityofboynton operating under county curfew.,0
Mmmm getting hungry,0
Martin County Presser: Shelters will open at 8 a.m. Saturday,0
I don't doubt that. How does he feel?,0
Go Roby Go!,0
Bad,0
bad or good?,0
Mar-a-Lago under evacuation order.,0
I mean 72 hrs old.,0
"Low low pressure, could intensify",0
OMG I NEED COFFEE,0
That looks bad.,0
still sad....,0
Become citizens!,0
Intercom (It's different than doorbell) ((different enough)),0
I thought it wouldn't hit until Sunday or Monday.....,0
Well once ya go black.........,0
"DANG, looks like he's serious.",0
@CariChampion @Thomas_Forester @Broncos_21,0
Lets go Serena!!!!!!,0
Go Serena!,0
Go Gators!,0
NO DREAM ACT,0
@weartv @WKRG @FOX10News @pnj @srpressgazette @navarrepress @nwfdailynews @WJHG_TV @WMBBTV @pulsegulfcoast @WPNNTalk790 @OANN @foxandfriends,0
Wow!! How many more!!!,0
WTF?!?!?,0
Taken before @POTUS 's speech.,0
HALF @trmillertigers 14 @LeopardFtball 13 @FOX10News,0
Hot cops,0
Wtf,0
How very sad,0
Damn!,0
Send her back!,0
HE WON'T CARE-he is a sadistic unbalanced narcissist,0
St. Luke's 57 - Luverne 12 ... FINAL @WNSP @aldotcomPreps @WKRG @FOX10News @espn @LOCAL15NEWS,0
@unsignedpreps look,0
I want one!!,0
C. U. Next. Tuesday,0
"Um, isn’t every day?",0
Poor baby,0
Sure taking a long time,0
Interesting. S Tampa still looks like a war zone. Some streets u can barely drive down,0
I find him abhorrent,0
im still seeing only 140,0
Racism is worse.,0
Awesome video...,0
Clown mayor.,0
A real man that loves his country!!,0
Fuck off ya bot.,0
Disgusting. Hang them both. That poor child.,0
Arrest her asap.......,0
Kim Jong Un calls Trump deranged,0
World wide !!!,0
I'd suggest calling Pasco County.,0
17$. How depressing people would protest 17$.,0
Quick results! Hillsborough County still can’t make a decision,0
How's I-75 heading south look?? Any idea?,0
Life??,0
"BREAKING: A powerful earthquake has shaken Mexico City, @AP reports",0
Hes a selfish ass person! He does NOT put america first! #impeachTrumpnow,0
"Happy Born Day, Scotty Bananas!!!!!!!",0
"Happy Birthday Scotty Bananas""",0
Sorry 6 days,0
Live video shows community removing tree now,0
I actually spot six,0
Let's pray she never hurts anyone else anywhere again!,0
"WALL, VOTER ID'S, TAX CUTS & TERM LIMITS! #maga #teflondon #tupacshakur #La2028 #trumptrain #pelosi #schumer #NoRinosNoDems #drunkana",0
#FSU #GONOLES #FEARTHESPEAR,0
Welcome @ChompJohnsonTV #GONOLES #FSU #FEARTHESPEAR,0
Forget Gators. Go @USouthFlorida Bulls!,0
"I'm not saying over Moss, I'd say maybe Urlacher",0
Such a pretty building,0
Bad link....please repost,0
Like mug shot Karma,0
"Hahaha a lot, I bet!",0
"Bad word phrasing. Horrible actually. Many died in flood waters yesterday, today!",0
Noah's arc,0
Sure look well trained.,0
Amen. Could've been worse,0
Totally agree young lady!,0
I totally agree young lady!,0
Omg how beautiful i love animals look at does flamingo listen more than humans,0
gusts 80-90,0
