Tweet,Category,Date,Permalink
#Irma expected to become a category 5 storm again on its way to Florida. Tune into @FOX10News at 5pm for the latest. pic.twitter.com/ThB8Kv2Jvx,1,09/08/2017,https://twitter.com/adamolivierwx/status/906272199492984833
MobileBaySierraClub mtg 2night @6:30 @5RiversDelta ! @FOX10News investigative reporter @KatiWeis will share her environmental investigations pic.twitter.com/gQnqdv9cBt,0,09/05/2017,https://twitter.com/alabamacoastal/status/905101936910786560
City council passes budget w/ amendments just 2 days before deadline. Big raises for MFRD and city employees. Numbers tonight on @FOX10News,2,09/29/2017,https://twitter.com/AlexaMKnowles/status/913900071757938688
"Moore showed his gun to the crowd at rally to prove he supports the 2nd amendment, the focus of attacks Strange made in TV ads. @FOX10News",0,09/25/2017,https://twitter.com/AlexaMKnowles/status/912505358538739712
You don't see this every day: Mobile Bay has receded near the Battleship. People are stopping by to check it out. #hurricaneIrma @FOX10News pic.twitter.com/opwvyjTwht,1,09/11/2017,https://twitter.com/AlexaMKnowles/status/907352037347794945
They're back! @team_sheriff deputies are home after spending more than a week in Houston feeding 1st responders. Welcome back! @FOX10News pic.twitter.com/1pMcekpaN1,8,09/07/2017,https://twitter.com/AlexaMKnowles/status/905952658372120576
". @StPaulsMobile showed up big, donating thousands of items to VOA in Mobile for Harvey victims. Full story tonight on @FOX10News at 9! pic.twitter.com/DegNH5xMsg",16,09/06/2017,https://twitter.com/AlexaMKnowles/status/905544130989875201
Retweeted FOX10News | WALA ( @FOX10News ): Baldwin Country drop off points for Harvey relief http://www. fox10tv.com/story/36293315 /baldwin-country-drop-off-points-for-harvey-relief … http:// fb.me/8Qg6dHgKj,2,09/05/2017,https://twitter.com/anatomy_shoppe/status/905157798375325697
Very sad prayers for the ones that were hurt,15,09/15/2017,https://twitter.com/BetteLogan14/status/908810819038846976
The calm before the storm. @FOX10News pic.twitter.com/PLqVMs7OVc,0,09/08/2017,https://twitter.com/BriMacNaught/status/906272092362039296
"One thing I do know coming against what God ordain is destruction,can you assure me that State regulation will stop this type tragedy again",13,09/20/2017,https://twitter.com/cassie18365/status/910666783387934720
"There will be destruction tonight , cars on fire, stores robbed cause that's all they know they haven't evolved",15,09/15/2017,https://twitter.com/Dav4Davis/status/908797522646364164
Local teen designs t-shirt to benefit @austinpetsalive @FOX10News #hurricaneharvey2017 #dogs pic.twitter.com/D4L51Rqe4O,0,09/05/2017,https://twitter.com/disabilitydog/status/905272684463915008
2/2 Two active warrants for two counts of possession of a weapon by a convicted felon & aggravated assault with a deadly weapon.,0,09/05/2017,https://twitter.com/ECSONews/status/905145539385319424
"No children injured from the bus, @ALLAWENF @team_sheriff & MCPSS Transportation on scene. @NBC15News @FOX10News @WKRG pic.twitter.com/srilpjMvcf",0,09/19/2017,https://twitter.com/GrandBayFire/status/910127268239937536
@FOX10News Is it legal to show the faces of the 2 juveniles being arrested before they have been tried & found guilty of the crime?,1,09/23/2017,https://twitter.com/IamAMDavis/status/911723021009907712
@weartv @WMBBTV @WJHG_TV @LOCAL15NEWS @WKRG @WECPTV @FOX10News Puerto Rico hasn't had a powerful hurricane since #Hugo in 1989,16,09/05/2017,https://twitter.com/JasonBXNY0619/status/905034167049756672
@weartv @WMBBTV @LOCAL15NEWS @WJHG_TV @WECPTV @WKRG @FOX10News 19 years ago #hurricanegeorges passed though PR & i was there,16,09/04/2017,https://twitter.com/JasonBXNY0619/status/904915331143135232
@weartv @WMBBTV @WJHG_TV @LOCAL15NEWS @FOX10News @WECPTV @WKRG As of 11pm EDT Puerto Rico is under a hurricane watch #Irma,13,09/04/2017,https://twitter.com/JasonBXNY0619/status/904912346992316416
#Irma expected to become a category 5 storm again on its way to Florida. Tune into @FOX10News at 5pm for the latest. pic.twitter.com/0MkDEcnuLC,1,09/08/2017,https://twitter.com/JasonSmithFox10/status/906272159592587264
"And another 20,000 on the @FOX10News stream! #BenAtBerkeley pic.twitter.com/GEutUImDK3",0,09/14/2017,https://twitter.com/JonnyZapatones/status/908515287372267520
Court testimony reveals new details in #daycare death http://www. fox10tv.com/story/36446717 /mobile-woman-facing-manslaughter-charge-in-day-care-death-scheduled-for-preliminary-hearing … (Via @FOX10News ),0,09/26/2017,https://twitter.com/KatiWeis/status/912720025890541575
#Irma #evacuations taking a toll on the southeast http://www. fox10tv.com/story/36324970 /irma-evacuations-taking-a-toll-on-the-southeast … (Via @FOX10News ),3,09/08/2017,https://twitter.com/KatiWeis/status/906328276297281536
@FOX10News your scroll is wrong. 490+ ILLEGAL ALIENS were rounded up and arrested by ICE not immigrants.,1,09/29/2017,https://twitter.com/Lakota07/status/913877687277637632
If they were given a grant to work legally then take the opportunity to become a legal resident. He has no problem with LEGAL residents.,9,09/03/2017,https://twitter.com/Laura_Kate08/status/904532996241403904
"Right now, @Equifax would only say if you may NOT be impacted.. not whether you are. Check this link: https:// trustedidpremier.com/eligibility/el igibility.html …",1,09/08/2017,https://twitter.com/Linh_oi/status/906100310363566080
So did anyone catch that description from ole dude on @FOX10News just now? Homeboy said Barbuda just got raped by a hurricane. pic.twitter.com/RDUzgHF3kI,0,09/08/2017,https://twitter.com/LISSA_SAY/status/906351018094596096
We helped Texas now lets help Florida PSP is collecting donations to help our friends recover from the hurricane #pets @WKRG @FOX10News pic.twitter.com/MkL2kYBfFJ,1,09/11/2017,https://twitter.com/MobilePSP/status/907350706625105922
PSP wants everyone to be safe Here are tips to prepare for a storm http://www. redcross.org/get-help/how-t o-prepare-for-emergencies/pet-disaster-preparedness#Pet-Emergency-Kit … #pets @975wabd @FOX10News #safety #Irma2017 pic.twitter.com/HBsgeQzfjn,0,09/05/2017,https://twitter.com/MobilePSP/status/905073685601681408
Hurricane Harvey victims still need our help. #HurricaneHarvey @WKRG @975wabd @FOX10News pic.twitter.com/DVKpDAMZr5,16,09/04/2017,https://twitter.com/MobilePSP/status/904728649357824000
Seriously RT @FOX10News : The Latest: Tropical Storm Jose forms to the east of Irma http://www. fox10tv.com/story/36290128 /the-latest-tropical-storm-jose-forms-to-the-east-of-irma …,16,09/05/2017,https://twitter.com/MolieveDat21/status/905107631358005248
Jogger attacked by dogs in Gulf Shores @FOX10News @dogs bite (I was attacked by pit bull last yr. I carry Glock now) http://www. fox10tv.com/story/36266973 /jogger-attacked-by-dogs …,3,09/02/2017,https://twitter.com/mozartplayer/status/904059670914101249
look at my son DT #21 trey Moore @young_cannon20 and look at ksat12 footage of the Cuervo gobblers and how good they all did,15,09/16/2017,https://twitter.com/mzdiishai/status/909181606698549248
Tell DOD to stop wasting our money! http:// atlantablackstar.com/2016/09/19/def ense-department-paid-sports-teams-53m-taxpayer-dollars-play-anthem-stage-over-the-top-military-tributes/ …,3,09/27/2017,https://twitter.com/nedyah70/status/912996056148975616
@SenJohnMcCain you are a true American hero sir-thank you I am praying,14,09/25/2017,https://twitter.com/obsodapopshop/status/912437471966846976
TODAY is the last day to drop off supplies for #HurricaneIrma victims at @voasoutheast -> truck leaves tomorrow! @FOX10News pic.twitter.com/dmvkfxB3Ng,0,09/21/2017,https://twitter.com/SarahWallFox10/status/910847153911803904
"Autopsy finds 12 year old Naomi Jones' death homicide violence of undetermined means"" -> Robert Howard charged with her murder. @FOX10News pic.twitter.com/NOP4hcrcx4""",0,09/21/2017,https://twitter.com/SarahWallFox10/status/910834888835833856
American Motors car dealership says it's offering a $500 reward for info leading to return of dozens of stolen car titles. @FOX10News pic.twitter.com/4gXziftEms,3,09/19/2017,https://twitter.com/SarahWallFox10/status/910113043031429120
. @FOX10News is teaming up with @voasoutheast to help our neighbors in #Florida recover from #HurricaneIrma . pic.twitter.com/w95aO0iEkf,3,09/19/2017,https://twitter.com/SarahWallFox10/status/910109872510967808
"2 @AuburnU bus drivers arrested, charged with raping 18 year old woman on bus. @FOX10News pic.twitter.com/2ExVQrV7QD",0,09/19/2017,https://twitter.com/SarahWallFox10/status/910108434917404672
