username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
JaxStrong|2017-09-29 08:13:48|0|0|Right of Entry center for Op Blue Roof now open in Indian River FL @IndianRiverEOC   @IRCGOV    http://www. saj.usace.army.mil/blueroof/  |Right of Entry center for Op Blue Roof now open in Indian River FL @IndianRiverEOC   @IRCGOV     saj.usace.army.mil/blueroof/  |false|913738578118823936|/JaxStrong/status/913738578118823936|Right of Entry center for Op Blue Roof now open in Indian River FL @IndianRiverEOC   @IRCGOV    http://www. saj.usace.army.mil/blueroof/  |Indian River, FL|25.8771392|-80.1372166|
JaxStrong|2017-12-21 14:06:51|8|8|Corps transitions to lower flows from #LakeOkeechobee  over the next 3 weeks:  http://www. saj.usace.army.mil/Media/News-Rel eases/Article/1402349/corps-transitions-to-lower-flows-from-lake-okeechobee/   …  #Caloosahatchee  #StLucie pic.twitter.com/mW8Aki6zsD|Corps transitions to lower flows from #LakeOkeechobee  over the next 3 weeks:   saj.usace.army.mil/Media/News-Rel eases/Article/1402349/corps-transitions-to-lower-flows-from-lake-okeechobee/   …  #Caloosahatchee  #StLucie |false|943920721205563393|/JaxStrong/status/943920721205563393|Corps transitions to lower flows from #LakeOkeechobee  over the next 3 weeks:  http://www. saj.usace.army.mil/Media/News-Rel eases/Article/1402349/corps-transitions-to-lower-flows-from-lake-okeechobee/   …  #Caloosahatchee  #StLucie pic.twitter.com/mW8Aki6zsD||||
JaxStrong|2017-12-27 15:39:39|2|7|Shout out to lock operators at St. Lucie, Port Mayaca, Moore Haven, Ortona, W.P. Franklin & Canaveral Lock & Dam. Up for sunrise, work weekends & holidays, long hours in advance of storms to get folks to safe harbor & hunker down during hurricanes. Hooah! (photo by Jaci Verwers). pic.twitter.com/3PYBhPdYms|Shout out to lock operators at St. Lucie, Port Mayaca, Moore Haven, Ortona, W.P. Franklin & Canaveral Lock & Dam. Up for sunrise, work weekends & holidays, long hours in advance of storms to get folks to safe harbor & hunker down during hurricanes. Hooah! (photo by Jaci Verwers). |false|946118403139530752|/JaxStrong/status/946118403139530752|Shout out to lock operators at St. Lucie, Port Mayaca, Moore Haven, Ortona, W.P. Franklin & Canaveral Lock & Dam. Up for sunrise, work weekends & holidays, long hours in advance of storms to get folks to safe harbor & hunker down during hurricanes. Hooah! (photo by Jaci Verwers). pic.twitter.com/3PYBhPdYms||||
JaxStrong|2017-09-11 15:22:56|10|9|@ JaxStrong  team members immediately inspect #HerberHooverDike  and #OkeechobeeWaterway   hours after #HurricaneIrma  __NEWLINE__ http://www. saj.usace.army.mil/Media/News-Sto ries/Article/1304927/usace-south-florida-operations-staff-inspects-herbert-hoover-dike-and-okeechobe/   … pic.twitter.com/xd0YVc4T0w|@ JaxStrong  team members immediately inspect #HerberHooverDike  and #OkeechobeeWaterway   hours after #HurricaneIrma  __NEWLINE__  saj.usace.army.mil/Media/News-Sto ries/Article/1304927/usace-south-florida-operations-staff-inspects-herbert-hoover-dike-and-okeechobe/   … |false|907323592865710081|/JaxStrong/status/907323592865710081|@ JaxStrong  team members immediately inspect #HerberHooverDike  and #OkeechobeeWaterway   hours after #HurricaneIrma  __NEWLINE__ http://www. saj.usace.army.mil/Media/News-Sto ries/Article/1304927/usace-south-florida-operations-staff-inspects-herbert-hoover-dike-and-okeechobe/   … pic.twitter.com/xd0YVc4T0w||||
JaxStrong|2017-12-28 13:00:49|2|2|Corps steps down water releases from Lake Okeechobee, releases to St. Lucie Estuary down to zero:  http://www. saj.usace.army.mil/Media/News-Rel eases/Article/1405246/corps-steps-down-water-releases-from-lake-okeechobee-releases-to-st-lucie-estua/   … pic.twitter.com/alqbrywR6q|Corps steps down water releases from Lake Okeechobee, releases to St. Lucie Estuary down to zero:   saj.usace.army.mil/Media/News-Rel eases/Article/1405246/corps-steps-down-water-releases-from-lake-okeechobee-releases-to-st-lucie-estua/   … |false|946440817740263425|/JaxStrong/status/946440817740263425|Corps steps down water releases from Lake Okeechobee, releases to St. Lucie Estuary down to zero:  http://www. saj.usace.army.mil/Media/News-Rel eases/Article/1405246/corps-steps-down-water-releases-from-lake-okeechobee-releases-to-st-lucie-estua/   … pic.twitter.com/alqbrywR6q||||
JaxStrong|2017-10-10 18:56:52|0|0|@ USACE  Col. Kirk welcomes Florida Gov. Rick Scott to Lake Okeechobee.  Read more at  http://www. saj.usace.army.mil/Media/News-Sto ries/Article/1338049/governor-scott-tours-hebert-hoover-dike-at-lake-okeechobee/   …  @Usace  @LRD  @SAD  @LRN pic.twitter.com/KLfkdAZ73U|@ USACE  Col. Kirk welcomes Florida Gov. Rick Scott to Lake Okeechobee.  Read more at   saj.usace.army.mil/Media/News-Sto ries/Article/1338049/governor-scott-tours-hebert-hoover-dike-at-lake-okeechobee/   …  @Usace  @LRD  @SAD  @LRN |false|917886679675031552|/JaxStrong/status/917886679675031552|@ USACE  Col. Kirk welcomes Florida Gov. Rick Scott to Lake Okeechobee.  Read more at  http://www. saj.usace.army.mil/Media/News-Sto ries/Article/1338049/governor-scott-tours-hebert-hoover-dike-at-lake-okeechobee/   …  @Usace  @LRD  @SAD  @LRN pic.twitter.com/KLfkdAZ73U||||
JaxStrong|2017-09-07 12:32:11|4|9|Col. Jason Kirk and @AtlantaCorps  Brig. Gen. @DianaMHolland  discussing Hurricane Irma preparations with Florida Governor  Rick Scott. pic.twitter.com/sNcvFaj3rt|Col. Jason Kirk and @AtlantaCorps  Brig. Gen. @DianaMHolland  discussing Hurricane Irma preparations with Florida Governor  Rick Scott. |false|905831070096134145|/JaxStrong/status/905831070096134145|Col. Jason Kirk and @AtlantaCorps  Brig. Gen. @DianaMHolland  discussing Hurricane Irma preparations with Florida Governor  Rick Scott. pic.twitter.com/sNcvFaj3rt||||
JaxStrong|2017-10-05 10:31:33|1|0|Clay County: Operation Blue Roof is available in your area. Visit an ROE center to start the process:  http://www. saj.usace.army.mil/blueroof/    @ClayCounty_EM|Clay County: Operation Blue Roof is available in your area. Visit an ROE center to start the process:   saj.usace.army.mil/blueroof/    @ClayCounty_EM|false|915947571507531776|/JaxStrong/status/915947571507531776|Clay County: Operation Blue Roof is available in your area. Visit an ROE center to start the process:  http://www. saj.usace.army.mil/blueroof/    @ClayCounty_EM||||
JaxStrong|2017-09-20 08:37:06|1|2|New ROE centers for #BLUEROOF  open today in #HIGHLANDS , #HARDEE , #PALM  BEACH, and #POLK  counties! Locations:  http://go.usa.gov/xRtvt   pic.twitter.com/Co0onUHKg1|New ROE centers for #BLUEROOF  open today in #HIGHLANDS , #HARDEE , #PALM  BEACH, and #POLK  counties! Locations:     |false|910482953184083968|/JaxStrong/status/910482953184083968|New ROE centers for #BLUEROOF  open today in #HIGHLANDS , #HARDEE , #PALM  BEACH, and #POLK  counties! Locations:  http://go.usa.gov/xRtvt   pic.twitter.com/Co0onUHKg1||||
JaxStrong|2018-03-02 11:18:32|1|2|U.S. Army Corps of Engineers extends expedited emergency permitting procedures in Puerto Rico and the U.S. Virgin Islands to support the continued recovery efforts following Hurricane Maria. These alternative procedures remain in effect until June 21, 2018  http://www. saj.usace.army.mil/Media/News-Rel eases/Article/1455645/us-army-corps-of-engineers-extends-expedited-emergency-permitting-procedures-in/   … pic.twitter.com/5a9spor3J3|U.S. Army Corps of Engineers extends expedited emergency permitting procedures in Puerto Rico and the U.S. Virgin Islands to support the continued recovery efforts following Hurricane Maria. These alternative procedures remain in effect until June 21, 2018   saj.usace.army.mil/Media/News-Rel eases/Article/1455645/us-army-corps-of-engineers-extends-expedited-emergency-permitting-procedures-in/   … |false|969607900506271745|/JaxStrong/status/969607900506271745|U.S. Army Corps of Engineers extends expedited emergency permitting procedures in Puerto Rico and the U.S. Virgin Islands to support the continued recovery efforts following Hurricane Maria. These alternative procedures remain in effect until June 21, 2018  http://www. saj.usace.army.mil/Media/News-Rel eases/Article/1455645/us-army-corps-of-engineers-extends-expedited-emergency-permitting-procedures-in/   … pic.twitter.com/5a9spor3J3||||
