username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
PRFAA|2017-09-07 21:04:56|0|3|Administración asuntos federales P.Rico trabaja con agencias EEUU por huracán  https://www. efe.com/efe/usa/puerto -rico/administracion-asuntos-federales-p-rico-trabaja-con-agencias-eeuu-por-huracan/50000110-3373123   …  via @EFEnoticias pic.twitter.com/2QlWVUaURR|Administración asuntos federales P.Rico trabaja con agencias EEUU por huracán   efe.com/efe/usa/puerto -rico/administracion-asuntos-federales-p-rico-trabaja-con-agencias-eeuu-por-huracan/50000110-3373123   …   |false|905960108794015744|/PRFAA/status/905960108794015744|Federal affairs administration P.Rico works with US agencies due to hurricane https: // www. efe.com/efe/usa/puerto -rico / administracion-asuntos-federales-p-rico-work-with-agencies-usa-por-hurricane / 50000110-3373123 ... via @EFEnoticias pic.twitter.com/2QlWVUaURR||||
PRFAA|2018-02-12 19:11:26|11|20|Thank you, @GovMurphy  !  http://m.primerahora.com/noticias/gobie rno-politica/nota/gobernadordenuevajerseycreacomisiondepuertorico-1268073/   …|Thank you, @GovMurphy  !   rno-politica/nota/gobernadordenuevajerseycreacomisiondepuertorico-1268073/   …|false|963203928149184512|/PRFAA/status/963203928149184512|Thank you, @GovMurphy! http://m.primerahora.com/noticias/gobie rno-politica / nota / gobernadordenuevajerseycreacomisiondepuertorico-1268073 / ...||||
PRFAA|2017-09-23 22:51:02|8|23|Gracias @SevillaFC  ! Nos pueden ayudar donando en  http://unidosporpuertorico.com    #PuertoRicoSeLevanta  #MariaPR https://twitter.com/SevillaFC/stat us/911645105400016899   …|Gracias @SevillaFC  ! Nos pueden ayudar donando en      #PuertoRicoSeLevanta  #MariaPR  us/911645105400016899   …|false|911785016321028096|/PRFAA/status/911785016321028096|Thanks @SevillaFC! You can help us by donating at http://unidosporpuertorico.com #PuertoRicoSeLevanta #MariaPR https://twitter.com/SevillaFC/stat us / 911645105400016899 ...||||
PRFAA|2017-10-16 09:48:50|172|275|.@Tesla  starts shipping Powerpacks to Puerto Rico. https://electrek.co/2017/10/15/tes la-powerpacks-puerto-rico/   …|.@Tesla  starts shipping Powerpacks to Puerto Rico.  la-powerpacks-puerto-rico/   …|false|919923088988524545|/PRFAA/status/919923088988524545|.@Tesla  starts shipping Powerpacks to Puerto Rico. https://electrek.co/2017/10/15/tes la-powerpacks-puerto-rico/   …||||
PRFAA|2017-09-21 16:32:27|2|1|Hola - Por favor envíe un correo a maria1@prfaa.pr.gov con la información de sus seres queridos. También puede llamar al 200-800-3133 pic.twitter.com/0CPTV8CDkF|Hola - Por favor envíe un correo a maria1@prfaa.pr.gov con la información de sus seres queridos. También puede llamar al 200-800-3133 |false|910964965154148352|/PRFAA/status/910964965154148352|Hello - Please send an email to maria1@prfaa.pr.gov with the information of your loved ones. You can also call 200-800-3133 pic.twitter.com/0CPTV8CDkF||||
PRFAA|2017-09-19 21:51:47|146|72|# PuertoRico  is experiencing the worst hurricane in its modern history. Help us recover by donating to @UNIDOSxPR :  http://unidosporpuertorico.com /   pic.twitter.com/SjbwdG3eKO|# PuertoRico  is experiencing the worst hurricane in its modern history. Help us recover by donating to @UNIDOSxPR :   /   |false|910320553113915392|/PRFAA/status/910320553113915392|# PuertoRico  is experiencing the worst hurricane in its modern history. Help us recover by donating to @UNIDOSxPR :  http://unidosporpuertorico.com /   pic.twitter.com/SjbwdG3eKO||||
PRFAA|2017-09-21 16:01:35|385|230|# MariaPR pic.twitter.com/AI7TgG08Q2|# MariaPR |false|910957198930407424|/PRFAA/status/910957198930407424|# MariaPR pic.twitter.com/AI7TgG08Q2||||
PRFAA|2018-03-28 12:10:32|72|152|Sobre 20,000 perros y gatos serán esterilizados gracias a acuerdo entre @BeatrizRossello  @ricardorossello  y @HSUSespanol   http://prfaa.pr.gov/comienza-campa na-de-esterilizacion-masiva/   …     pic.twitter.com/MJsfqC6qd2|Sobre 20,000 perros y gatos serán esterilizados gracias a acuerdo entre @BeatrizRossello  @ricardorossello  y @HSUSespanol    na-de-esterilizacion-masiva/   …     |false|979027970076610560|/PRFAA/status/979027970076610560|Over 20,000 dogs and cats will be sterilized thanks to an agreement between @BeatrizRossello @ricardorossello and @HSUSespanol http://prfaa.pr.gov/comienza-campa na-de-sterilization-massive / ... pic.twitter.com/MJsfqC6qd2||||
PRFAA|2017-09-07 18:52:18|2|4|.@PRFAA  establece canales de comunicación entre Administración @ricardorossello  y @realDonaldTrump  __NEWLINE__ http://mailchi.mp/prfaa/frentepo rpuertoricoconcluyedosdiasdereuniones-301021?e=8d7d97d888   …|.@PRFAA  establece canales de comunicación entre Administración @ricardorossello  y @realDonaldTrump  __NEWLINE__  rpuertoricoconcluyedosdiasdereuniones-301021?e=8d7d97d888   …|false|905926730447290369|/PRFAA/status/905926730447290369|. @ PRFAA establishes communication channels between Administration @ricardorossello and @realDonaldTrump __NEWLINE__ http://mailchi.mp/prfaa/frentepo rpuertoricoconcluyedosdiasdereuniones-301021? E = 8d7d97d888 ...||||
PRFAA|2017-09-29 12:41:38|22|27|More help continues to arrive for Puerto Rico. #UnitedForPuertoRico https://twitter.com/ricardorossell o/status/913799007872471041   …|More help continues to arrive for Puerto Rico. #UnitedForPuertoRico  o/status/913799007872471041   …|false|913805980726628352|/PRFAA/status/913805980726628352|More help continues to arrive for Puerto Rico. #UnitedForPuertoRico https://twitter.com/ricardorossell o/status/913799007872471041   …||||
