username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
USGS|2017-09-13 09:00:03|81|179|Remembering the scientist, educator & humanitarian, George Washington Carver  https://on.doi.gov/2y34M5X    #WednesdayWisdom  #nationalpeanutday pic.twitter.com/wattAUpMpG|Remembering the scientist, educator & humanitarian, George Washington Carver      #WednesdayWisdom  #nationalpeanutday |false|907952012557291520|/USGS/status/907952012557291520|Remembering the scientist, educator & humanitarian, George Washington Carver  https://on.doi.gov/2y34M5X    #WednesdayWisdom  #nationalpeanutday pic.twitter.com/wattAUpMpG|WA|47.2868352|-120.2126139|234.2223807882968
USGS|2018-02-20 12:46:16|0|1|No, with current understanding, no one can, or has ever,  predicted an earthquake. More info here:  https://www. usgs.gov/faqs/can-you-p redict-earthquakes?qt-news_science_products=0#qt-news_science_products   …|No, with current understanding, no one can, or has ever,  predicted an earthquake. More info here:   usgs.gov/faqs/can-you-p redict-earthquakes?qt-news_science_products=0#qt-news_science_products   …|false|966006099752226816|/USGS/status/966006099752226816|No, with current understanding, no one can, or has ever,  predicted an earthquake. More info here:  https://www. usgs.gov/faqs/can-you-p redict-earthquakes?qt-news_science_products=0#qt-news_science_products   …||||
USGS|2018-02-09 12:11:23|0|2|That must have been a harrowing experience, thanks for sharing|That must have been a harrowing experience, thanks for sharing|false|962011055424659457|/USGS/status/962011055424659457|That must have been a harrowing experience, thanks for sharing||||
USGS|2018-02-21 12:30:00|10|25|Did you know USGS maintains a variety of webcams across the U.S.? They provide valuable research information and data to USGS scientists and others. See them here:  https://go.usa.gov/xnMay    #Science pic.twitter.com/Qd5MG6aU4K|Did you know USGS maintains a variety of webcams across the U.S.? They provide valuable research information and data to USGS scientists and others. See them here:      #Science |false|966364394362847232|/USGS/status/966364394362847232|Did you know USGS maintains a variety of webcams across the U.S.? They provide valuable research information and data to USGS scientists and others. See them here:  https://go.usa.gov/xnMay    #Science pic.twitter.com/Qd5MG6aU4K||||
USGS|2018-02-09 15:15:14|0|0|California sure is no stranger to natural disasters!|California sure is no stranger to natural disasters!|false|962057322632642565|/USGS/status/962057322632642565|California sure is no stranger to natural disasters!|CA|36.7014631|-118.7559974|358.57430104148074
USGS|2018-01-12 10:26:22|0|1|Sorry, sent you a comment on the camp dogs by mistake.  But, thanks for your comment, as well. :)|Sorry, sent you a comment on the camp dogs by mistake.  But, thanks for your comment, as well. :)|false|951837766307975168|/USGS/status/951837766307975168|Sorry, sent you a comment on the camp dogs by mistake.  But, thanks for your comment, as well. :)||||
USGS|2017-10-05 10:01:14|0|1|Very coo!|Very coo!|false|915939944354516992|/USGS/status/915939944354516992|Very coo!||||
USGS|2017-09-15 15:00:02|13|17|Teachers - in honor of novelist Agatha Christie,b. #OnThisDay , try out our GeoSleuth Murder Mystery!  https://on.doi.gov/2h6X6bb    #christieday pic.twitter.com/WaupUQy9Jl|Teachers - in honor of novelist Agatha Christie,b. #OnThisDay , try out our GeoSleuth Murder Mystery!      #christieday |false|908767379496214530|/USGS/status/908767379496214530|Teachers - in honor of novelist Agatha Christie,b. #OnThisDay , try out our GeoSleuth Murder Mystery!  https://on.doi.gov/2h6X6bb    #christieday pic.twitter.com/WaupUQy9Jl||||
USGS|2018-03-23 13:47:59|10|34|The Hooe Building on F Street NW, Washington, D.C. served as the first USGS headquarters until 1917, when the budding agency outgrew its former space #history pic.twitter.com/I25E3MaH4w|The Hooe Building on F Street NW, Washington, D.C. served as the first USGS headquarters until 1917, when the budding agency outgrew its former space #history |false|977240555058094082|/USGS/status/977240555058094082|The Hooe Building on F Street NW, Washington, D.C. served as the first USGS headquarters until 1917, when the budding agency outgrew its former space #history pic.twitter.com/I25E3MaH4w||||
USGS|2017-09-21 10:45:15|0|1|Quite dramatic ;)|Quite dramatic ;)|false|910877591594311681|/USGS/status/910877591594311681|Quite dramatic ;)||||
