'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
Foundation_PR|2018-01-19 18:16:35|0|1|Thank you and your team @estuariosanjuan  for being part of this!|Thank you and your team @estuariosanjuan  for being part of this!|false|954492815823790080|/Foundation_PR/status/954492815823790080|Thank you and your team @estuariosanjuan  for being part of this!
Foundation_PR|2017-09-28 10:04:50|5|3|DONATE TODAY! @Foundation_PR  established a Relief Fund for #PuertoRico  #HurricaneMaria  visit  http://www. foundationpr.org    and help us rebuild PR. pic.twitter.com/7B3vbYwkmP|DONATE TODAY! @Foundation_PR  established a Relief Fund for #PuertoRico  #HurricaneMaria  visit   foundationpr.org    and help us rebuild PR. |false|913404133616635910|/Foundation_PR/status/913404133616635910|DONATE TODAY! @Foundation_PR  established a Relief Fund for #PuertoRico  #HurricaneMaria  visit  http://www. foundationpr.org    and help us rebuild PR. pic.twitter.com/7B3vbYwkmP
Foundation_PR|2017-12-01 15:51:16|3|3|Con mucho orgullo, recibimos a la actriz y ganadora de un Óscar, Rita Moreno quien también visitó el municipio de Humacao para llevar artículos de primera necesidad. Entra a este enlace para que leas la historia completa:  http://bit.ly/2i7e6yX   pic.twitter.com/yx9PHh6i8Z|Con mucho orgullo, recibimos a la actriz y ganadora de un Óscar, Rita Moreno quien también visitó el municipio de Humacao para llevar artículos de primera necesidad. Entra a este enlace para que leas la historia completa:     |false|936699239018745862|/Foundation_PR/status/936699239018745862|With great pride, we received the Oscar-winning actress, Rita Moreno, who also visited the municipality of Humacao to bring essential items. Go to this link to read the full story: http://bit.ly/2i7e6yX pic.twitter.com/yx9PHh6i8Z
Foundation_PR|2017-10-31 13:30:23|2|3|¡Oportunidades para voluntariado! #FoundationForPR  #PRSeLevanta  #SeguimosAyudando  __PIPE__ Detalles: pic.twitter.com/d7kq842Ey8|¡Oportunidades para voluntariado! #FoundationForPR  #PRSeLevanta  #SeguimosAyudando  __PIPE__ Detalles: |false|925414663134773248|/Foundation_PR/status/925414663134773248|Opportunities for volunteering! #FoundationForPR #PRSeLevanta #SeguimosAyudando __PIPE__ Details: pic.twitter.com/d7kq842Ey8
Foundation_PR|2018-02-14 11:13:13|0|0|¿Quieres ayudar y ser voluntario? Aquí te dejamos unas opciones en Pa’l Wikén con Causa. pic.twitter.com/PxPRkdKws6|¿Quieres ayudar y ser voluntario? Aquí te dejamos unas opciones en Pa’l Wikén con Causa. |false|963808356585664512|/Foundation_PR/status/963808356585664512|Do you want to help and volunteer? Here we leave you some options in Pa'l Wikén with Causa. pic.twitter.com/PxPRkdKws6
Foundation_PR|2017-12-07 10:17:04|1|1|Únete como voluntario a @CTPuertoRico  para revitalizar nuestros atractivos turísticos: Tibes, Ponce: 7-9/diciembre __PIPE__ Crash Boat, Aguadilla: 9/diciembre __PIPE__ Seven Seas, Fajardo: 12/diciembre - Detalles: mayra.ortiz@tourism.pr.gov, doris.lamoso@tourism.pr.gov #HolidayGiving pic.twitter.com/NFvRgBZlzy|Únete como voluntario a @CTPuertoRico  para revitalizar nuestros atractivos turísticos: Tibes, Ponce: 7-9/diciembre __PIPE__ Crash Boat, Aguadilla: 9/diciembre __PIPE__ Seven Seas, Fajardo: 12/diciembre - Detalles: mayra.ortiz@tourism.pr.gov, doris.lamoso@tourism.pr.gov #HolidayGiving |false|938789463253307393|/Foundation_PR/status/938789463253307393|Join as a volunteer at @CTPuertoRico to revitalize our tourist attractions: Tibes, Ponce: 7-9 / December __PIPE__ Crash Boat, Aguadilla: 9 / December __PIPE__ Seven Seas, Fajardo: 12 / December - Details: mayra.ortiz@tourism.pr. gov, doris.lamoso@tourism.pr.gov #HolidayGiving pic.twitter.com/NFvRgBZlzy
Foundation_PR|2017-11-30 10:24:29|1|12|@ Roselyn_Sanchez  derrochó amor por Puerto Rico llevando a cabo una actividad de donación en Los Ángeles. Mira y comparte su mensaje.  pic.twitter.com/DoAfUoYjut|@ Roselyn_Sanchez  derrochó amor por Puerto Rico llevando a cabo una actividad de donación en Los Ángeles. Mira y comparte su mensaje.  |false|936254613044461568|/Foundation_PR/status/936254613044461568|@ Roselyn_Sanchez splurged love for Puerto Rico carrying out a donation activity in Los Angeles. Look and share your message. pic.twitter.com/DoAfUoYjut
Foundation_PR|2017-10-26 14:18:53|0|1|@ SBAatlantic  ofrece préstamos a largo plazo con tasas bajas de interés para pequeños negocios. Calendarios para #PR : pic.twitter.com/Ox46ZcGeOB|@ SBAatlantic  ofrece préstamos a largo plazo con tasas bajas de interés para pequeños negocios. Calendarios para #PR : |false|923614930229780481|/Foundation_PR/status/923614930229780481|@ SBAatlantic offers long-term loans with low interest rates for small businesses. Calendars for #PR: pic.twitter.com/Ox46ZcGeOB
Foundation_PR|2018-01-24 16:15:03|3|2|Episodio 1: Portraits of Puerto Rico (Mural Calle Loíza)  https://youtu.be/c5-42k7mp_c    via @YouTube __NEWLINE____NEWLINE__@abeych  @C787STUDIOS  @Lacalleloiza  @Metro_PR  @ElNuevoDia  @SomosPiso13  @lenteviral  @NoticentroWAPA  @TelenoticiasPR  @jayfonsecapr|Episodio 1: Portraits of Puerto Rico (Mural Calle Loíza)       __NEWLINE____NEWLINE__@abeych  @C787STUDIOS  @Lacalleloiza  @Metro_PR  @ElNuevoDia  @SomosPiso13  @lenteviral  @NoticentroWAPA  @TelenoticiasPR  @jayfonsecapr|false|956274168059789312|/Foundation_PR/status/956274168059789312|Episode 1: Portraits of Puerto Rico (Calle Loíza Mural) https://youtu.be/c5-42k7mp_c via @YouTube __NEWLINE ____ NEWLINE __ @ abeych @ C787STUDIOS @Lacalleloiza @Metro_PR @ElNuevoDia @ SomosPiso13 @lenteviral @NoticentroWAPA @TelenoticiasPR @jayfonsecapr
Foundation_PR|2018-02-23 14:56:50|0|1|We teamed up with the Posada family to distribute furniture and appliances to a community in need in Toa Baja, PR. https://youtu.be/AFobvBZ7zJg  |We teamed up with the Posada family to distribute furniture and appliances to a community in need in Toa Baja, PR.   |false|967126120775737344|/Foundation_PR/status/967126120775737344|We teamed up with the Posada family to distribute furniture and appliances to a community in need in Toa Baja, PR. https://youtu.be/AFobvBZ7zJg  
