'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
PR_ITCluster|2017-12-13 07:36:14|0|0|TODAY! Lets get the Power back to the IT Power Hour!__NEWLINE__Join us for our Annual Holiday Power Hour for Cocktails, Networking, and learn about the plans of the PRITC for 2018 #PRisIT __NEWLINE__Register@ https://buff.ly/2nVXH6l   pic.twitter.com/73X5ZXEJaN|TODAY! Lets get the Power back to the IT Power Hour!__NEWLINE__Join us for our Annual Holiday Power Hour for Cocktails, Networking, and learn about the plans of the PRITC for 2018 #PRisIT __NEWLINE__Register@    |false|940923313160933377|/PR_ITCluster/status/940923313160933377|TODAY! Lets get the Power back to the IT Power Hour!__NEWLINE__Join us for our Annual Holiday Power Hour for Cocktails, Networking, and learn about the plans of the PRITC for 2018 #PRisIT __NEWLINE__Register@ https://buff.ly/2nVXH6l   pic.twitter.com/73X5ZXEJaN
PR_ITCluster|2018-02-01 16:57:58|1|2|Don’t miss the opportunity to nominate your Organization, Project or IT Professionals to the Puerto Rico IT Cluster Innovation Awards. More info & awards process >>>  http://bit.ly/2BqUXzl   pic.twitter.com/PebQJanJpS|Don’t miss the opportunity to nominate your Organization, Project or IT Professionals to the Puerto Rico IT Cluster Innovation Awards. More info & awards process >>>     |false|959184074211495936|/PR_ITCluster/status/959184074211495936|Don’t miss the opportunity to nominate your Organization, Project or IT Professionals to the Puerto Rico IT Cluster Innovation Awards. More info & awards process >>>  http://bit.ly/2BqUXzl   pic.twitter.com/PebQJanJpS
PR_ITCluster|2017-12-11 11:19:21|0|0|Lets get the Power back to the IT Power Hour!__NEWLINE__Join us tomorrow for our Annual Holiday Power Hour for Cocktails, Networking, and learn about the plans of the PRITC for 2018 #PRisIT __NEWLINE__Register@ https://buff.ly/2B7udHs   pic.twitter.com/6hwGMETvnY|Lets get the Power back to the IT Power Hour!__NEWLINE__Join us tomorrow for our Annual Holiday Power Hour for Cocktails, Networking, and learn about the plans of the PRITC for 2018 #PRisIT __NEWLINE__Register@    |false|940254688376709121|/PR_ITCluster/status/940254688376709121|Lets get the Power back to the IT Power Hour!__NEWLINE__Join us tomorrow for our Annual Holiday Power Hour for Cocktails, Networking, and learn about the plans of the PRITC for 2018 #PRisIT __NEWLINE__Register@ https://buff.ly/2B7udHs   pic.twitter.com/6hwGMETvnY
PR_ITCluster|2017-09-14 21:07:34|3|8|Thanks to Glorimar Ripoll and Luis Arocho for this insightful IT Power Hour and thanks to all of the participants... #PRisIT pic.twitter.com/j5pDlOatm1|Thanks to Glorimar Ripoll and Luis Arocho for this insightful IT Power Hour and thanks to all of the participants... #PRisIT |false|908497484883927040|/PR_ITCluster/status/908497484883927040|Thanks to Glorimar Ripoll and Luis Arocho for this insightful IT Power Hour and thanks to all of the participants... #PRisIT pic.twitter.com/j5pDlOatm1
PR_ITCluster|2018-01-22 08:32:07|1|2|Join us for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it" this Wednesday, January 24, at Amadeus Bistro Bar. __NEWLINE__Register@ https://buff.ly/2DYkJxU    #PRisIT|Join us for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it" this Wednesday, January 24, at Amadeus Bistro Bar. __NEWLINE__Register@     #PRisIT|false|955432893429534725|/PR_ITCluster/status/955432893429534725|Join us for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it" this Wednesday, January 24, at Amadeus Bistro Bar. __NEWLINE__Register@ https://buff.ly/2DYkJxU    #PRisIT
PR_ITCluster|2017-09-15 11:34:56|1|2|https://buff.ly/2x1HX52    Comienza el periodo de nominaciones para los nuevos PRITC Innovation Awards. #PRisIT|    Comienza el periodo de nominaciones para los nuevos PRITC Innovation Awards. #PRisIT|false|908715766782070784|/PR_ITCluster/status/908715766782070784|https://buff.ly/2x1HX52 The nomination period for the new PRITC Innovation Awards begins. #PRisIT
PR_ITCluster|2018-01-24 09:52:42|2|2|Join us TODAY for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it"@Amadeus Bistro Bar. __NEWLINE__Register@ https://buff.ly/2E7fhsk    #PRisIT pic.twitter.com/uaBxXyNBod|Join us TODAY for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it"@Amadeus Bistro Bar. __NEWLINE__Register@     #PRisIT |false|956177948628979712|/PR_ITCluster/status/956177948628979712|Join us TODAY for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it"@Amadeus Bistro Bar. __NEWLINE__Register@ https://buff.ly/2E7fhsk    #PRisIT pic.twitter.com/uaBxXyNBod
PR_ITCluster|2017-10-11 08:44:56|3|5|Puerto Rico Tech Companies Start the Work of Rebuilding #PRisIT https://buff.ly/2guudq4  |Puerto Rico Tech Companies Start the Work of Rebuilding #PRisIT   |false|918095068569001987|/PR_ITCluster/status/918095068569001987|Puerto Rico Tech Companies Start the Work of Rebuilding #PRisIT https://buff.ly/2guudq4  
PR_ITCluster|2018-02-13 10:23:34|2|1|Just 3 days left!!! Don't miss the opportunity to nominate your project, organization, product or IT professional to the Puerto Rico Information Technology ClusterInnovation Awards 2018 >>>  http://ow.ly/96fI30initF     #PRisIT pic.twitter.com/lYZmirJ25C|Just 3 days left!!! Don't miss the opportunity to nominate your project, organization, product or IT professional to the Puerto Rico Information Technology ClusterInnovation Awards 2018 >>>       #PRisIT |false|963433472990859265|/PR_ITCluster/status/963433472990859265|Just 3 days left!!! Don't miss the opportunity to nominate your project, organization, product or IT professional to the Puerto Rico Information Technology ClusterInnovation Awards 2018 >>>  http://ow.ly/96fI30initF     #PRisIT pic.twitter.com/lYZmirJ25C
PR_ITCluster|2017-12-20 09:52:05|0|0|Here's How To Support Puerto Rican Businesses This Holiday Season #PRisIT https://buff.ly/2DdZrvj  |Here's How To Support Puerto Rican Businesses This Holiday Season #PRisIT   |false|943494216503701504|/PR_ITCluster/status/943494216503701504|Here's How To Support Puerto Rican Businesses This Holiday Season #PRisIT https://buff.ly/2DdZrvj  
PR_ITCluster|2017-09-14 21:09:11|0|1|# PRisIT https://twitter.com/hcdelgadovelez /status/908345236111417347   …|# PRisIT  /status/908345236111417347   …|false|908497894260559872|/PR_ITCluster/status/908497894260559872|# PRisIT https://twitter.com/hcdelgadovelez/status/908345236111417347 ...
PR_ITCluster|2017-09-13 19:55:23|2|2|Sold Out!__NEWLINE__Tomorrow: IT Power Hour con Glorimar Ripoll, Chief Innovation Officer y Luis Arocho, Chief Information Officer. #PRisiT pic.twitter.com/7anB1xPvRR|Sold Out!__NEWLINE__Tomorrow: IT Power Hour con Glorimar Ripoll, Chief Innovation Officer y Luis Arocho, Chief Information Officer. #PRisiT |false|908116932867624960|/PR_ITCluster/status/908116932867624960|Sold Out!__NEWLINE__Tomorrow: IT Power Hour con Glorimar Ripoll, Chief Innovation Officer y Luis Arocho, Chief Information Officer. #PRisiT pic.twitter.com/7anB1xPvRR
PR_ITCluster|2018-02-14 11:03:40|0|0|Just 2 days left!!! Don't miss the opportunity to nominate your project, organization, product or IT professional to the Puerto Rico Information Technology Cluster  Awards 2018 >>>  http://ow.ly/96fI30initF    #PRisIT pic.twitter.com/9vvoiuZTjs|Just 2 days left!!! Don't miss the opportunity to nominate your project, organization, product or IT professional to the Puerto Rico Information Technology Cluster  Awards 2018 >>>      #PRisIT |false|963805954507755520|/PR_ITCluster/status/963805954507755520|Just 2 days left!!! Don't miss the opportunity to nominate your project, organization, product or IT professional to the Puerto Rico Information Technology Cluster  Awards 2018 >>>  http://ow.ly/96fI30initF    #PRisIT pic.twitter.com/9vvoiuZTjs
PR_ITCluster|2018-01-23 10:28:45|2|2|Tomorrow: Join us for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it" this Wednesday, January 24, at Amadeus Bistro Bar. __NEWLINE__Register@ https://buff.ly/2n3d1ua    #PRisIT|Tomorrow: Join us for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it" this Wednesday, January 24, at Amadeus Bistro Bar. __NEWLINE__Register@     #PRisIT|false|955824631742689280|/PR_ITCluster/status/955824631742689280|Tomorrow: Join us for our next IT Power Hour "What is HUBZone and how can your IT Company benefit from it" this Wednesday, January 24, at Amadeus Bistro Bar. __NEWLINE__Register@ https://buff.ly/2n3d1ua    #PRisIT
PR_ITCluster|2018-02-10 11:18:53|1|2|No pierdas la oportunidad de participar de los primeros premios de tecnología en Puerto Rico. #PRisIT https://www. elnuevodia.com/tecnologia/tec nologia/nota/premiaranlomejordelatecnologiainformatica-2397566/   …|No pierdas la oportunidad de participar de los primeros premios de tecnología en Puerto Rico. #PRisIT  elnuevodia.com/tecnologia/tec nologia/nota/premiaranlomejordelatecnologiainformatica-2397566/   …|false|962360229827633152|/PR_ITCluster/status/962360229827633152|Do not miss the opportunity to participate in the first technology awards in Puerto Rico. #PRisIT https: // www. elnuevodia.com/tecnologia/tec nologia / note / premiaranlomejordelatecnologiainformatica-2397566 / ...
