username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
FComunitaria|2018-03-07 09:32:07|0|1|Visita nuestra página en Facebook para conocer más de este fondo que se establece para apoyar la misión de la Facultad de Administración de Empresas de la #uprRP __NEWLINE__#DARyRECIBIRenPuertoRico __NEWLINE__@uprrp  @colegiocpapr  @FComunitaria pic.twitter.com/qYvWN0dciv|Visita nuestra página en Facebook para conocer más de este fondo que se establece para apoyar la misión de la Facultad de Administración de Empresas de la #uprRP __NEWLINE__#DARyRECIBIRenPuertoRico __NEWLINE__@uprrp  @colegiocpapr  @FComunitaria |false|971393058460831749|/FComunitaria/status/971393058460831749|Visit our Facebook page to learn more about this fund that is established to support the mission of the School of Business Administration of the #uprRP __NEWLINE __ # DARyRECIBIRenPuertoRico __NEWLINE __ @ uprrp @colegiocpapr @FComunitaria pic.twitter.com/qYvWN0dciv||||
FComunitaria|2018-03-07 10:56:37|3|0|¡Oportunidad de ayuda económica! __NEWLINE__Si estudias #Derecho  y te interesa el desarrollo comunitario, te invitamos a que solicites esta beca. Tienes hasta el 23 de marzo de 2018 para someter los documentos.__NEWLINE__ https://goo.gl/tRPHui    __NEWLINE____NEWLINE__@EnlaceDereUPR  @interocs  @PUCPR_oficial|¡Oportunidad de ayuda económica! __NEWLINE__Si estudias #Derecho  y te interesa el desarrollo comunitario, te invitamos a que solicites esta beca. Tienes hasta el 23 de marzo de 2018 para someter los documentos.__NEWLINE__     __NEWLINE____NEWLINE__@EnlaceDereUPR  @interocs  @PUCPR_oficial|false|971414323762475009|/FComunitaria/status/971414323762475009|Opportunity for financial help! __NEWLINE__If you study #Right and you are interested in community development, we invite you to apply for this scholarship. You have until March 23, 2018 to submit the documents .__ NEWLINE__ https://goo.gl/tRPHui __NEWLINE ____ NEWLINE __ @ EnlaceDereUPR @interocs @PUCPR_oficial||||
FComunitaria|2017-10-12 13:23:17|2|6|Crearte standing behind #Yabucoa  community!  http://ow.ly/mtfv30fPOjr    #FCPR  #PuertoRico pic.twitter.com/V8vxdNMzpA|Crearte standing behind #Yabucoa  community!      #FCPR  #PuertoRico |false|918527507246264321|/FComunitaria/status/918527507246264321|Crearte standing behind #Yabucoa  community!  http://ow.ly/mtfv30fPOjr    #FCPR  #PuertoRico pic.twitter.com/V8vxdNMzpA||||
FComunitaria|2017-11-07 10:43:56|2|1|# Conversatorio  para organizaciones sin fines de lucro. Mañana miércoles. Gratis. #PuertoRico  #FEMA pic.twitter.com/nQ0t593Sun|# Conversatorio  para organizaciones sin fines de lucro. Mañana miércoles. Gratis. #PuertoRico  #FEMA |false|927924588985618435|/FComunitaria/status/927924588985618435|# Discussion for non-profit organizations. Tomorrow, Wednesday Free. #PuertoRico #FEMA pic.twitter.com/nQ0t593Sun||||
FComunitaria|2018-03-09 08:45:07|0|0|AHORA Rubén y Joel Lucena Quiles hablan del Fondo de Becas #LaSombraLareña  en @wgdl1200    https://goo.gl/22Ut6q     __NEWLINE__CONOCE qué los motivó a ayudar a los estudiantes de este pueblo de #PuertoRico . __NEWLINE__#DARyRECIBIRenPuertoRico pic.twitter.com/HPuWOqaujD|AHORA Rubén y Joel Lucena Quiles hablan del Fondo de Becas #LaSombraLareña  en @wgdl1200         __NEWLINE__CONOCE qué los motivó a ayudar a los estudiantes de este pueblo de #PuertoRico . __NEWLINE__#DARyRECIBIRenPuertoRico |false|972106005214613505|/FComunitaria/status/972106005214613505|NOW Rubén and Joel Lucena Quiles talk about the Scholarship Fund # LaSombraLareña at @ wgdl1200 https://goo.gl/22Ut6q __NEWLINE__CONOCE what motivated them to help the students of this town of #PuertoRico. __NEWLINE __ # DARyRECIBIRenPuertoRico pic.twitter.com/HPuWOqaujD||||
FComunitaria|2017-10-12 15:01:12|4|6|Conoce cómo el Fondo de Recuperación Comunitaria está ayudando a levantar a PR luego del Huracán María-->  http://ow.ly/WXri30fPLdZ    #FCPR pic.twitter.com/8fF4m73u3i|Conoce cómo el Fondo de Recuperación Comunitaria está ayudando a levantar a PR luego del Huracán María-->      #FCPR |false|918552148757110784|/FComunitaria/status/918552148757110784|Learn how the Community Recovery Fund is helping to lift PR after Hurricane Maria -> http://ow.ly/WXri30fPLdZ #FCPR pic.twitter.com/8fF4m73u3i||||
FComunitaria|2018-03-26 10:07:21|0|0|Estudiante becada cosecha los frutos de su esfuerzo  https://www. fcpr.org/2018/03/23/est udiante-becada-cosecha-los-frutos-de-su-esfuerzo/   …   #DARyRecibirenPuertoRico  #TocaUnaVidaCambiaunaHistoria|Estudiante becada cosecha los frutos de su esfuerzo   fcpr.org/2018/03/23/est udiante-becada-cosecha-los-frutos-de-su-esfuerzo/   …   #DARyRecibirenPuertoRico  #TocaUnaVidaCambiaunaHistoria|false|978272193737043968|/FComunitaria/status/978272193737043968|Scholarship student reaps the fruits of his effort https: // www. fcpr.org/2018/03/23/est udiante-becada-cosecha-los-frutos-de-su-esfuerzo / ... #DARyRecibirenPuertoRico #TocaUnaVidaCambiaunaHistoria||||
FComunitaria|2018-03-27 17:26:06|0|0|@ siliconvalleycf  works with @FComunitaria  to raise funds for post-hurricane rebuilding efforts and solar power infrastructure #RESILIENTPOWERPR  #GiftofLife   https://www. siliconvalleycf.org/blog/recent-ev ents/svcf-works-puerto-rico-community-foundation-raise-funds-post-hurricane-rebuilding   …|@ siliconvalleycf  works with @FComunitaria  to raise funds for post-hurricane rebuilding efforts and solar power infrastructure #RESILIENTPOWERPR  #GiftofLife    siliconvalleycf.org/blog/recent-ev ents/svcf-works-puerto-rico-community-foundation-raise-funds-post-hurricane-rebuilding   …|false|978744998400274433|/FComunitaria/status/978744998400274433|@ siliconvalleycf  works with @FComunitaria  to raise funds for post-hurricane rebuilding efforts and solar power infrastructure #RESILIENTPOWERPR  #GiftofLife   https://www. siliconvalleycf.org/blog/recent-ev ents/svcf-works-puerto-rico-community-foundation-raise-funds-post-hurricane-rebuilding   …||||
FComunitaria|2018-03-26 10:59:39|1|2|Las organizaciones sin fines de lucro ayudaron a un millón de afectados @ElNuevoDia http://bit.ly/2I4CZ9p  |Las organizaciones sin fines de lucro ayudaron a un millón de afectados @ElNuevoDia   |false|978285358264840194|/FComunitaria/status/978285358264840194|Non-profit organizations helped one million affected @ElNuevoDia http://bit.ly/2I4CZ9p||||
FComunitaria|2018-03-21 15:37:50|0|0|Una reflexión necesaria sobre el PAN @ElNuevoDia  __PIPE__ Por Marta Elsa Fernández, miembro de la Junta de Directores de #FCPR  #DARyRECIBIRenPuertoRico http://bit.ly/2G8JcEa  |Una reflexión necesaria sobre el PAN @ElNuevoDia  __PIPE__ Por Marta Elsa Fernández, miembro de la Junta de Directores de #FCPR  #DARyRECIBIRenPuertoRico   |false|976543426706661382|/FComunitaria/status/976543426706661382|A necessary reflection on the PAN @ElNuevoDia __PIPE__ By Marta Elsa Fernández, member of the Board of Directors of #FCPR #DARyRECIBIRenPuertoRico http://bit.ly/2G8JcEa||||
FComunitaria|2018-03-23 16:36:35|2|3|# Hatillo  y #Arecibo  __PIPE__ El proyecto #CantaySiembra : Resuena la Esperanza visita mañana, sábado, estos pueblos para deleitarlos con música de Coralia y del Coro de la @uprrp . Además, llevarán artículos de primera necesidad y sembrarán árboles. ¡ASISTE e INVITA a otro! pic.twitter.com/fT76vZijtB|# Hatillo  y #Arecibo  __PIPE__ El proyecto #CantaySiembra : Resuena la Esperanza visita mañana, sábado, estos pueblos para deleitarlos con música de Coralia y del Coro de la @uprrp . Además, llevarán artículos de primera necesidad y sembrarán árboles. ¡ASISTE e INVITA a otro! |false|977282987178983424|/FComunitaria/status/977282987178983424|# Hatillo and #Arecibo __PIPE__ The project #CantaySiembra: Resuena la Esperanza visits tomorrow, Saturday, these towns to delight them with music from Coralia and the Choir of the @uprrp. In addition, they will carry essential items and plant trees. ATTEND and INVITE another! pic.twitter.com/fT76vZijtB||||
FComunitaria|2018-03-27 09:35:15|2|1|ESTUDIO __PIPE__ Visita  https://goo.gl/DxZa9R    para conocer un análisis de #EstudiosTécnicos  sobre la situación social y económica de #PR  luego de los huracanes #Irma  y #María  y la respuesta del #TercerSector|ESTUDIO __PIPE__ Visita      para conocer un análisis de #EstudiosTécnicos  sobre la situación social y económica de #PR  luego de los huracanes #Irma  y #María  y la respuesta del #TercerSector|false|978626505336152066|/FComunitaria/status/978626505336152066|STUDY __PIPE__ Visit https://goo.gl/DxZa9R for an analysis of #Technical Studies on the social and economic situation of #PR after hurricanes #Irma and # María and the response of #TercerSector||||
FComunitaria|2017-09-12 10:57:22|6|6|@ HIPGive  Creó campaña para recaudar fondos para ayudar a PR, Cuba y Florida, afectados por #Irma  Aquí el enlace:  http://ow.ly/f82B30f62fV  |@ HIPGive  Creó campaña para recaudar fondos para ayudar a PR, Cuba y Florida, afectados por #Irma  Aquí el enlace:    |false|907619150524231681|/FComunitaria/status/907619150524231681|@ HIPGive Created a campaign to raise funds to help PR, Cuba and Florida, affected by #Irma Here the link: http://ow.ly/f82B30f62fV||||
FComunitaria|2017-11-05 11:01:01|1|1|Ponce NHS becomes a first responder to #Villalba . Read more-->   http://ow.ly/xN2A30gkKys    #PuertoRico  #filantropíapr pic.twitter.com/XfFnzKYp4F|Ponce NHS becomes a first responder to #Villalba . Read more-->       #PuertoRico  #filantropíapr |false|927204111765901312|/FComunitaria/status/927204111765901312|Ponce NHS becomes a first responder to #Villalba . Read more-->   http://ow.ly/xN2A30gkKys    #PuertoRico  #filantropíapr pic.twitter.com/XfFnzKYp4F|Ponce, NH|||
