Tweet,Link,Label
"Is John Kelly willing to resign? The White House says ""no""  http://cbsn.ws/2nSRhST Â  pic.twitter.com/WPt4NGRtCJ",/CBSNews/status/962982899283881986,0
"Lives lost in Mexico quake could have been saved, engineers say  Â ",/FoxNews/status/917634551610007552,0
"Pyramids, street art and top topiary: a glimpse of Mexico â in pictures  http://trib.al/miwCg3q Â ",/guardian/status/903228094969995264,0
Do you know how an atomic bomb is manufactured? http://exp.mx/2AixqDK pic.twitter.com/15JYvoigdB,/ExpansionMx/status/936550678708805633,0
"Mexico and Canada agree to continue working for regional development and to promote bilateral cooperation mechanisms in terms of training human capital, trade and mobility of people. #Comunicado http://bit.ly/2BNdlTh pic.twitter.com/P5jlV45BEG",/SRE_mx/status/959225697263869952,0
"# BREAKING  U.S. is pulling out of UNESCO, the U.N. cultural organization, the State Department says https://usat.ly/2wQ8j6C Â ",/USATODAY/status/918474366932869120,0
Director of the #CIA admits his participation in #EEUU sanctions against Venezuela http://bit.ly/2n9qzEL pic.twitter.com/tKGpuMGos6,/teleSURtv/status/957091795271168001,0
Russian Revolution: diaspora in France looks back to #1917 ,/AFP/status/924667153835376641,0
Poor people are running out of places to live â via @Slate    Â  ,/businessinsider/status/924751401149976576,0
# Catalonia __PIPE__ Puigdemont proposes to suspend the effects of the declaration of independence and open a dialogue http://bit.ly/2yeyjvQ pic.twitter.com/7tfOq3x9jl,/teleSURtv/status/917965485953740801,0
Search for Search for Seminole Heights murderer continues   Â  ,/10NewsWTSP/status/922818737476161537,0
More than 400 children do not attend classes in Sierra de Guerrero in # Mexico due to the high level of violence experienced by the population where the law is dictated by drug traffickers. Will the government provide solutions to this crisis? pic.twitter.com/9vwSVjCUG3,/teleSURtv/status/943457297770139649,0
Todayâs the day to join us in #parknitup  at Bay of Pigs ,/miamiparks/status/919900291998343168,0
Amazon: More than 100 cities bid for new headquarters http://bbc.in/2x7wRIp Â ,/BBCNorthAmerica/status/921026292216156161,0
Houston's original Three Brothers Bakery reopens after surviving its fifth natural disaster.   Â   #ABC13  #HouNews ,/abc13houston/status/913195325912993792,0
Venezuelan Vice President rejects reception of Freddy Guevara at the Embassy of Chile http://bit.ly/2j3Q4Jc pic.twitter.com/XRex8QHaxB,/NTN24/status/927596453601480704,0
"650 million pieces of children's clothing were produced by over 9,000 companies in first half of 2017 in Zhili Township, China's Zhejiang ",/XHNews/status/909756534258900992,0
"Youâre welcome. Thank you for your patience. Once again, our hardworking crews made us proud.",/DukeEnergy/status/907344498283487233,1
The overwhelming testimony of an old Peruvian woman assaulted by her granddaughter â https://es.rt.com/5oiq,/ActualidadRT/status/972130869392658432,0
"The president is not ""happy"" with the Republican congressional majority, and blames them for a string of setbacks. https://usat.ly/2hJWg4A Â ",/USATODAY/status/919985075638489088,0
Amazon just accidentally revealed its next plan for Whole Foods in a job posting  http://read.bi/2GvUhgm Â  pic.twitter.com/l9eKQhdM7T,/businessinsider/status/974348686049374214,0
China says plenty of space separates Taiwan flights amid route row  http://reut.rs/2EoOEPO Â  pic.twitter.com/jxMIolle7E,/Reuters/status/958573106737614855,0
"We are dying here, San Juan's mayor says in plea to Pres. Trump. __NEWLINE____NEWLINE__@gabegutierrez  reports now on @NBCNightlyNews .  /status/913867982996197376 Â  â¦",/NBCNightlyNews/status/913894462790815755,1
"Please god no, don't revive 'The Office' http://on.mash.to/2kla8Vb Â ",/mashable/status/943195557073481728,0
China embraces Christmas with opening of world's biggest Hamleys toy storeÂ  http://www. telegraph.co.uk/news/2017/12/1 6/china-embraces-christmas-opening-worlds-biggest-hamleys-toy/?utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter Â  â¦,/Telegraph/status/942142480111239176,0
"# OnThisDay  in 1973, the Concorde made its first non-stop record-breaking transatlantic flight from Washington to Paris in 3 hrs and 32 min pic.twitter.com/bHOgiIV5mx",/AFP/status/912640400325615617,0
Mess by contracting of the AEE http://ow.ly/NmAu30fKaO6 pic.twitter.com/SPmqPSwGin,/noticel/status/917389248348737536,1
GOOD MORNING EVERYONE! JOIN US NOW AS WE'RE LIVE ON THE EAST COAST! pic.twitter.com/GGkikttKiv,/CBSThisMorning/status/947074827051036672,0
# Video Londoners traveled by subway without pants as part of a global event https: // www. diariolasamericas.com/c4140915,/DLasAmericas/status/950497662687678464,0
"The commemoration of World AIDS Day ""allows the creation of social conscience to eliminate prejudices and obsolete stigma towards this condition."" Read the column ""The relief"" __NEWLINE__ http: // www. Primerahora.com/noticias/puert o-rico / blog / el-desahogo / posts / unbuenabrazonuncasobra-1257689 / ...",/primerahora/status/936207904981610496,0
Brazil Supreme Court blocks extradition of Italian leftist ex-guerilla Battisti   Â  ,/Reuters/status/919017435671482368,0
"Mayor Feo La Cruz: Before any case or suspected of Diphtheria, the first thing you should do is go to your doctor .. pic.twitter.com/J2KW73pqIN",/RCTVenlinea/status/924389696649793536,0
The North Korean seaside city where Kim tested nearly 40 missiles has a special place in his heart:  http://reut.rs/2g9wnP0 Â  pic.twitter.com/HX5sktFC7D,/Reuters/status/917746810730446849,0
Hurricane Warning for New Orleans Canceled.  status/916837966596755458 Â  â¦,/FOXNashville/status/916839690975760384,1
# BREAKING : Crews try to rescue man down well in Port Orchard:  http://bit.ly/2FwLLfj Â  pic.twitter.com/ZUoX3tWb6f,/komonews/status/958512634503942144,0
Calling owners of short draft boats to rescue residents of Levittown http://bit.ly/2ysCRgj pic.twitter.com/Igst6xgJAx,/primerahora/status/910782641611395072,1
"TEXAS CHURCH SHOOTING LATEST:  http://abcn.ws/2yxv3NZ Â  __NEWLINE__-at least 27 people killed, 27 injured__NEWLINE__-alleged shooter is dead__NEWLINE__-FBI, ATF on the scene pic.twitter.com/KqLEmLtCe0",/GMA/status/927290439832662016,0
# CDN: Official #RRLIDOM calendar after the changes generated by reassigned matches pic.twitter.com/cPat39CyiY,/CDN37/status/946542373386977282,0
