'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
CityofWilm|2018-09-07 09:56:48|3|15|We love our @battleshipnc ! Proudly watching over our city for almost 17 years.  https://twitter.com/NCmuseumhistor y/status/1038058939643043840   …|We love our @battleshipnc ! Proudly watching over our city for almost 17 years.   y/status/1038058939643043840   …|false|1038063538978344960|/CityofWilm/status/1038063538978344960
CityofWilm|2018-09-15 20:55:23|54|60|Please pay close attention. According to the @NWSWilmingtonNC  , the next couple of bands from #Florence  could produce 8" of rain and tornadoes. Listen for alerts and make sure you have a safe place to go on the lowest level of your home in a room w/o windows!|Please pay close attention. According to the @NWSWilmingtonNC  , the next couple of bands from #Florence  could produce 8" of rain and tornadoes. Listen for alerts and make sure you have a safe place to go on the lowest level of your home in a room w/o windows!|false|1041128380299665408|/CityofWilm/status/1041128380299665408
CityofWilm|2018-09-15 17:01:36|85|99|People and agencies from all over want to help us. If you or someone you know is asking "How can I help?", see this link for a list of who to contact.  http://wilmingtonnc.gov/florence   . We appreciate you! pic.twitter.com/bZlrzrO3pv|People and agencies from all over want to help us. If you or someone you know is asking "How can I help?", see this link for a list of who to contact.     . We appreciate you! |false|1041069547497943041|/CityofWilm/status/1041069547497943041
CityofWilm|2018-09-12 15:59:06|6|7|New Hanover County has opened a new shelter at Codington Elementary. This is not a pet shelter. https://twitter.com/NewHanoverCo/s tatus/1039962335899799552   …|New Hanover County has opened a new shelter at Codington Elementary. This is not a pet shelter.  tatus/1039962335899799552   …|false|1039966652010516481|/CityofWilm/status/1039966652010516481
CityofWilm|2018-09-19 15:57:38|0|9|You are quite welcome, we are proud to serve our community! #ILMStrong|You are quite welcome, we are proud to serve our community! #ILMStrong|false|1042502998461693954|/CityofWilm/status/1042502998461693954
CityofWilm|2018-09-10 09:55:08|0|1|Here are some of the maps that city staff refers to in the report on re-zonings etc… These Growth Strategy Maps show which areas of the city are expected to change in the coming years and what type of change is to be encouraged. #mapdaymonday http://ow.ly/xGd930lJ6Go  |Here are some of the maps that city staff refers to in the report on re-zonings etc… These Growth Strategy Maps show which areas of the city are expected to change in the coming years and what type of change is to be encouraged. #mapdaymonday   |false|1039150281748082688|/CityofWilm/status/1039150281748082688
CityofWilm|2018-09-27 12:23:52|33|173|They were here in the wind, the rain, and now the stifling heat. Hats off to all those who are helping us recover! #ilmstrong pic.twitter.com/Xkjg5DXyDJ|They were here in the wind, the rain, and now the stifling heat. Hats off to all those who are helping us recover! #ilmstrong |false|1045348308347219970|/CityofWilm/status/1045348308347219970
CityofWilm|2018-09-10 17:54:40|1|1|New Hanover County just announced that they are recommending evacuations for the entire county, but not mandatory yet. Please follow us on social media, and you can also get updates on the New Hanover County Emergency Management page:  https://emergency.nhcgov.com /   . Stay safe!|New Hanover County just announced that they are recommending evacuations for the entire county, but not mandatory yet. Please follow us on social media, and you can also get updates on the New Hanover County Emergency Management page:   /   . Stay safe!|false|1039270959650402304|/CityofWilm/status/1039270959650402304
CityofWilm|2018-09-20 09:53:09|3|7|Please do not try to come back! #StaySafe|Please do not try to come back! #StaySafe|false|1042773663391645697|/CityofWilm/status/1042773663391645697
CityofWilm|2018-09-15 10:09:56|28|41|Please do not go out driving around unless absolutely necessary. Emergency crews are out trying to clear roads and flooded areas of debris.  Visit  http://www. wilmingtonnc.gov/travel    to see all the roads that are currently closed. https://twitter.com/NewHanoverCo/s tatus/1040937961070751746   …|Please do not go out driving around unless absolutely necessary. Emergency crews are out trying to clear roads and flooded areas of debris.  Visit   wilmingtonnc.gov/travel    to see all the roads that are currently closed.  tatus/1040937961070751746   …|false|1040965945127251968|/CityofWilm/status/1040965945127251968
CityofWilm|2018-09-16 18:50:34|0|4|Thanks Ana!!|Thanks Ana!!|false|1041459356565471232|/CityofWilm/status/1041459356565471232
