,Tweet,Manual Coding,Date,Permalink
0,Dear @insideFPL I let you know last week about these lines. You said safety is number 1. Have you checked the weather? pic.twitter.com/p2PFnqzL7N,1,9/5/2017,https://twitter.com/Pappy_FC/status/905177060888518661
1,"@insideFPL mobilizes workers against #HurricaneIrma , starts 24-hour storm watchL https:// hubs.ly/H08yKNq0 #BCDR #BusinessContinuity",1,9/6/2017,https://twitter.com/MADICORP/status/905421234724319232
2,FPL: St. Lucie #nuclear power plant would weather a flooding storm like #Harvey @insideFPL @nexteraenergy http:// bit.ly/2j4I9Ld,1,9/6/2017,https://twitter.com/NEI/status/905551378961063936
3,@NRCgov @fema @insideFPL @FLGovScott #TurkeyPoint nuclear power plant will be near landfall. What preps have been made if backup elec fails? https:// twitter.com/JoelNihlean/st atus/905924400507125760 …,1,9/8/2017,https://twitter.com/WMN4SRVL/status/906044044807028736
4,"Lightning nuked my electricity, and Irma isn't even here yet. Hope @insideFPL cones thru. 18 cats depending on the them. #animalrescue",1,9/8/2017,https://twitter.com/squidmango/status/906214164837883905
5,@insideFPL Since u service a hurricane state an email informing your mobile app is useless for outage 411 during #irma Hire I.T.! #asshats,1,9/9/2017,https://twitter.com/omcn7/status/906714958280450048
6,I thought after Andrew we will have underground power at this point #Insidefpl after 25 years we are not prepare for a hurricane,1,9/9/2017,https://twitter.com/ernestocurcio1/status/906552847319408642
7,. @DukeEnergy officials underestimated the damage Irma would cause to its infrastructure. http:// bizj.us/1pbrxe via @TBBJJanelle pic.twitter.com/rGiJPVxMA8,1,9/20/2017,https://twitter.com/TBBJnewsroom/status/910647020183891968
8,"I'm moved prior to hurricane season next year guaranteed , this is not a good look",1,9/22/2017,https://twitter.com/RequiemSlaps/status/911372728040656897
9,FPL's Juliet Roulhac not mincing words: Crews will likely have to REBUILD the system due to intensity of the storm. @CBSMiami @insideFPL,1,9/8/2017,https://twitter.com/LaurenPastrana/status/906159616521895936
10,"42,110 . @insideFPL #MiamiDade customers without power... And #HurricaneIrma has not made landfall in #Florida ! Yikes #Miami ! https:// twitter.com/FLSERT/status/ 906689077327560704 …",1,9/9/2017,https://twitter.com/tinacornely/status/906691204154355712
11,"Over 38,000 without power in miami dade and the worse of the storm has not arrived. How prepared are we @insideFPL #fplNOTpreparedforirma",1,9/9/2017,https://twitter.com/glo1115/status/906584750357434368
12,FPL CEO and Board members will be held responsible for the deaths of 2 hamlet cc residents in Delray. Homebound seniors need air!,1,9/12/2017,https://twitter.com/BrianChickloski/status/907795528347471874
13,90%+ with no power. That storm could've been a LOT worse. pic.twitter.com/RjPwdOzrSu,1,9/13/2017,https://twitter.com/JoeMers/status/908020339787132928
14,There is no power in morriston and we didn't have power before the storm hit,1,9/14/2017,https://twitter.com/Armando91045652/status/908522457275015169
15,I had no power since last week Sunday around 2:00pm for no reason the storm wasn't even close to us all we had was some wind!,1,9/17/2017,https://twitter.com/_candyspize/status/909408214629912576
16,"With a storm of this magnitude and intensity, #FPL crews will likely have to completely rebuild parts of their electric system.",1,9/8/2017,https://twitter.com/CityCoralGables/status/906237793269100544
17,"@insideFPL - You need electricity to ""rebuild"". Guess that economic boost isn't happening anytime soon for Florida #Irma2017",1,9/13/2017,https://twitter.com/rynsweurld/status/907975405843427329
18,"But for some areas like Pinellas County it wasn't "" the worst storm in history"" after all, yet 90% lost power. Have you ever wondered",1,9/15/2017,https://twitter.com/StarfishRising/status/908776672614342656
19,Hoping Federal Government provide money to update Florida power infrastructure to prevent next potential disaster https:// petitions.whitehouse.gov/petition/hopin g-federal-government-provide-money-update-florida-power-infrastructure-prevent-next-potential-disaster …,1,9/16/2017,https://twitter.com/yongjinpetition/status/909123884624039937
20,. @insideFPL : We are NOT turning our plants off unless hurricane-force winds are forecast within 24 hours. #Irma,1,9/8/2017,https://twitter.com/PaulMerrillWMTW/status/906180259975966722
21,"Retweeted FPL ( @insideFPL ): During the storm and the time after, we will be posting updates here and on Facebook,... http:// fb.me/31g87dRn0",1,9/8/2017,https://twitter.com/TreasureC_com/status/906282295170146310
22,#Breaking @insideFPL We will restore #power during the #storm to some people using the smart grid technology.,1,9/8/2017,https://twitter.com/CBS12/status/906184146204192768
23,FPL prepares a restoration force to deal with Hurricane Irma's aftermath. http:// amp.miamiherald.com/news/weather/h urricane/article172403537.html …,1,9/10/2017,https://twitter.com/twright55/status/906998757711020032
