Tweet,Code,Category,Date,Permalink
Dear @insideFPL I let you know last week about these lines. You said safety is number 1. Have you checked the weather? pic.twitter.com/p2PFnqzL7N,1,0,9/5/2017,https://twitter.com/Pappy_FC/status/905177060888518661
"@insideFPL mobilizes workers against #HurricaneIrma , starts 24-hour storm watchL https:// hubs.ly/H08yKNq0 #BCDR #BusinessContinuity",1,2,9/6/2017,https://twitter.com/MADICORP/status/905421234724319232
FPL: St. Lucie #nuclear power plant would weather a flooding storm like #Harvey @insideFPL @nexteraenergy http:// bit.ly/2j4I9Ld,1,12,9/6/2017,https://twitter.com/NEI/status/905551378961063936
@NRCgov @fema @insideFPL @FLGovScott #TurkeyPoint nuclear power plant will be near landfall. What preps have been made if backup elec fails? https:// twitter.com/JoelNihlean/st atus/905924400507125760 …,1,4,9/8/2017,https://twitter.com/WMN4SRVL/status/906044044807028736
"Lightning nuked my electricity, and Irma isn't even here yet. Hope @insideFPL cones thru. 18 cats depending on the them. #animalrescue",1,12,9/8/2017,https://twitter.com/squidmango/status/906214164837883905
@insideFPL Since u service a hurricane state an email informing your mobile app is useless for outage 411 during #irma Hire I.T.! #asshats,1,3,9/9/2017,https://twitter.com/omcn7/status/906714958280450048
I thought after Andrew we will have underground power at this point #Insidefpl after 25 years we are not prepare for a hurricane,1,12,9/9/2017,https://twitter.com/ernestocurcio1/status/906552847319408642
. @DukeEnergy officials underestimated the damage Irma would cause to its infrastructure. http:// bizj.us/1pbrxe via @TBBJJanelle pic.twitter.com/rGiJPVxMA8,1,8,9/20/2017,https://twitter.com/TBBJnewsroom/status/910647020183891968
"I'm moved prior to hurricane season next year guaranteed , this is not a good look",1,1,9/22/2017,https://twitter.com/RequiemSlaps/status/911372728040656897
FPL's Juliet Roulhac not mincing words: Crews will likely have to REBUILD the system due to intensity of the storm. @CBSMiami @insideFPL,1,12,9/8/2017,https://twitter.com/LaurenPastrana/status/906159616521895936
"42,110 . @insideFPL #MiamiDade customers without power... And #HurricaneIrma has not made landfall in #Florida ! Yikes #Miami ! https:// twitter.com/FLSERT/status/ 906689077327560704 …",1,4,9/9/2017,https://twitter.com/tinacornely/status/906691204154355712
"Over 38,000 without power in miami dade and the worse of the storm has not arrived. How prepared are we @insideFPL #fplNOTpreparedforirma",1,12,9/9/2017,https://twitter.com/glo1115/status/906584750357434368
FPL CEO and Board members will be held responsible for the deaths of 2 hamlet cc residents in Delray. Homebound seniors need air!,1,15,9/12/2017,https://twitter.com/BrianChickloski/status/907795528347471874
