OUCreliableone,2017-09-26 14:05,0,1,. @OUCreliableone was a beacon of hope for many #Orlando residents. Discover why: http:// bit.ly/2hjHVPY,,@OUCreliableone,#Orlando,9.12739872246522E+017,https://twitter.com/AppltnCre8ve/status/912739872246521857
OUCreliableone,2017-09-26 13:20,0,0,Thank you,,,,9.1272853419561E+017,https://twitter.com/MitchellGabe/status/912728534195609600
OUCreliableone,2017-09-26 13:19,0,0,Your balance will be adjusted at time of billing.,,,,9.12728271002972E+017,https://twitter.com/OUCreliableone/status/912728271002972160
OUCreliableone,2017-09-26 13:18,0,0,"Thanks you for responding. 1 question, the chart or my $ balance?",,,,9.12728093697208E+017,https://twitter.com/MitchellGabe/status/912728093697208320
OUCreliableone,2017-09-26 12:28,0,0,"Hi, Mitchell. The Usage Dashboard creates an estimate when there's no data read. These will be adjusted at time of billing.",,,,9.12715486760178E+017,https://twitter.com/OUCreliableone/status/912715486760177665
OUCreliableone,2017-09-26 12:22,0,0,"@OUCreliableone , explain why I'm showing usage of $4.50/day, had no power (Irma) Sept 11-13, then have a $3.51 credit on the 15th? Hmmm pic.twitter.com/ydH3bcxhdg",,@OUCreliableone,,9.12714056037028E+017,https://twitter.com/MitchellGabe/status/912714056037027840
OUCreliableone,2017-09-25 17:35,0,0,"@OUCreliableone - when I call to report a downed line and you tell me it's not your line, and I need to call somone else... not helpful",,@OUCreliableone,,9.12430318098973E+017,https://twitter.com/dschwalls/status/912430318098972673
OUCreliableone,2017-09-25 11:40,0,0,"Please DM us your concern, including address and account number.",,,,9.12341149263831E+017,https://twitter.com/OUCreliableone/status/912341149263831041
OUCreliableone,2017-09-25 11:40,0,0,After 2 weeks on hold for over an hour a day. Picking up the phone would be nice.,,,,9.12340984842908E+017,https://twitter.com/Polish_hammer3/status/912340984842907648
OUCreliableone,2017-09-25 11:39,0,0,Hi. How can we help?,,,,9.12340819788599E+017,https://twitter.com/OUCreliableone/status/912340819788599297
OUCreliableone,2017-09-25 11:38,0,0,"@OUCreliableone I'm so sick of being on hold with you. Don't be like duke energy, you're better than that.",,@OUCreliableone,,9.12340586660815E+017,https://twitter.com/Polish_hammer3/status/912340586660814848
OUCreliableone,2017-09-25 11:31,5,0,"If you still see tree limbs too close to power lines after Irma, let us know. Please DO NOT trim them yourself! http:// bit.ly/2xG5qJ7 pic.twitter.com/Yn7XecgWpk",,,,9.12338742211482E+017,https://twitter.com/OUCreliableone/status/912338742211481601
