content,Code #,category,ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Subcode,,unk,directed,hashtag,geocode,source,,,
Somebody just got a little excited,,0,,0.6037460984,2364,1992nole,,9/27/17,9/27/2017 0:00,5:50:00 PM,0,0,,0,,,,,9.13E+017,https://twitter.com/1992nole/status/913158899116670976,,,
"Negros tenian que ser, those niggers bastards",,0,,0.6708718161,50043,RockstarF1,,9/10/17,9/10/2017 0:00,11:26:00 PM,0,0,,1,,,,,9.07E+017,https://twitter.com/RockstarF1/status/907082974935568389,,,
Amazing work guys,11,0,28,0.678664379,8567,blktrades,,9/12/17,9/12/2017 0:00,11:38:00 AM,0,0,,,,,,,9.08E+017,https://twitter.com/blktrades/status/907629401281626113,,,
No problem. We're here to help.,11,0,29,0.1501169147,37671,Mandy_Cordero,,9/9/17,9/9/2017 0:00,2:53:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/Mandy_Cordero/status/906591312752910337,,,
That's just wind,6,0,35,0.8052791324,61634,wideopeninc,,9/10/17,9/10/2017 0:00,1:44:00 PM,0,0,,,,,,,9.07E+017,https://twitter.com/wideopeninc/status/906936448410050560,,,
I think I would save those birds before I would you,6,0,41,0.8102609178,25587,HaleMichalehd,,9/10/17,9/10/2017 0:00,9:12:00 PM,0,3,,,,,,,9.07E+017,https://twitter.com/HaleMichalehd/status/907049140705742851,,,
"Retweeted FOX 13 Tampa Bay ( @FOX13News ): SINGLE FILE, EVERYONE! Flamingos being ushered to safety at... http:// fb.me/34BjeQeXz",3,0,43,0.6024384996,67703,Zito_Bares,,9/10/17,9/10/2017 0:00,3:17:00 PM,0,0,,,,,@FOX13News,,9.07E+017,https://twitter.com/Zito_Bares/status/906959813824831489,,,
Thank you!,11,0,52,0.0556401035,24159,gastronomic,,9/8/17,9/8/2017 0:00,9:39:00 PM,0,0,,,,,,,9.06E+017,https://twitter.com/gastronomic/status/906331280014540800,,,
These are someone's pets. How could they just leave them behind? I hope someone is able to help them.,8,0,55,0.2465829596,9012,BossBird17,,9/10/17,9/10/2017 0:00,3:12:00 PM,0,1,,,,,,,9.07E+017,https://twitter.com/BossBird17/status/906958701956878347,,,
"Hey Mayor Levine you're already in campaign ? Who's paying fir this ad ? You're such a BS artist, you have no credibility, zero, zilch, nada",9,0,58,0.388913341,58850,tupanelo,,9/23/17,9/23/2017 0:00,4:35:00 PM,0,0,,,,,,,9.12E+017,https://twitter.com/tupanelo/status/911690402331316224,,,
